acl 2.3.1-3
libxdmcp 1.1.4-2
libxext 1.3.5-1
libxml2 2.10.3-2
libxmu 1.1.4-1
libxslt 1.1.37-2
libxss 1.2.3-4
libxt 1.2.1-1
libyaml 0.2.5-2
licenses 20220125-2
linux 6.2.8.arch1-1
linux-api-headers 6.1.9-1
linux-atm 2.5.2-8
linux-firmware 20230210.bf4115c-1
linux-firmware-marvell 20230210.bf4115c-1
linux-firmware-whence 20230210.bf4115c-1
livecd-sounds 1.0-2
lmdb 0.9.30-3
lrzip 0.651-2
lsb-release 2.0.r48.3cf5103-1
lsscsi 0.32-1
lua53 5.3.6-1
lvm2 2.03.20-1
lynx 2.8.9-6
lz4 1:1.9.4-1
lzo 2.10-5
lzop 1.04-3
man-db 2.11.2-1
man-pages 6.03-1
mc 4.8.29-2
mdadm 4.2-2
memtest86+ 6.10-1
memtest86+-efi 6.10-1
mkinitcpio 35.2-1
mkinitcpio-archiso 68-1
mkinitcpio-busybox 1.35.0-1
mkinitcpio-nfs-utils 0.3-7
mobile-broadband-provider-info 20221107-2
modemmanager 1.20.6-1
mpfr 4.2.0-3
mpg123 1.31.3-1
mtools 1:4.0.43-1
nano 7.2-1
nbd 3.24-2
ncurses 6.4-1
ndisc6 1.0.7-1
nettle 3.8.1-1
nfs-utils 2.6.2-1
nfsidmap 2.6.2-1
nftables 1:1.0.7-1
nilfs-utils 2.2.9-2
nmap 7.93-1
npth 1.6-4
nspr 4.35-1
nss 3.89-1
ntfs-3g 2022.10.3-1
numactl 2.0.16-1
nvme-cli 2.3-1
oath-toolkit 2.6.7-1
open-iscsi 2.1.8-2
open-isns 0.102-2
open-vm-tools 6:12.2.0-1
openconnect 1:9.01-2
openssh 9.3p1-1
openssl 3.0.8-1
openvpn 2.6.2-1
opus 1.3.1-3
p11-kit 0.24.1-1
pacman 6.0.2-6
pacman-mirrorlist 20230226-1
pam 1.5.2-1
pambase 20221020-1
partclone 0.3.23-1
parted 3.5-1
partimage 0.6.9-14
pbzip2 1.1.13-3
pcaudiolib 1.2-2
pciutils 3.9.0-2
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-3
perl 5.36.0-3
pigz 2.7-3
pinentry 1.2.1-1
pixz 1.0.7-4
pkcs11-helper 1.29.0-2
polkit 122-1
popt 1.19-1
ppp 2.4.9-3
pptpclient 1.10.0-3
procps-ng 3.3.17-1
psmisc 23.6-1
pv 1.6.20-2
python 3.10.10-1
python-attrs 22.2.0-1
python-cffi 1.15.1-1
python-chardet 5.1.0-1
python-configobj 5.0.6.r110.g3e2f4cc-3
python-cryptography 39.0.2-1
python-idna 3.4-1
python-jinja 1:3.1.2-2
python-jsonpatch 1.32-3
python-jsonpointer 2.3-1
python-jsonschema 4.17.3-1
python-markupsafe 2.1.2-1
python-netifaces 0.11.0-3
python-oauthlib 3.2.2-1
python-ply 3.11-10
python-pycparser 2.21-3
python-pyrsistent 0.19.3-1
python-pyserial 3.5-4
python-requests 2.28.2-1
python-six 1.16.0-6
python-systemd 235-1
python-typing_extensions 4.5.0-1
python-urllib3 1.26.13-1
python-yaml 6.0-1
qemu-guest-agent 7.2.0-5
readline 8.2.001-2
refind 0.14.0.2-1
reflector 2021.11-6
reiserfsprogs 3.6.27-4
rp-pppoe 3.15-2
rpcbind 1.2.6-3
rsync 3.2.7-4
run-parts 5.5-1
rxvt-unicode-terminfo 9.31-1
screen 4.9.0-1
sdparm 1.12-1
sed 4.9-3
sg3_utils 1.47-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
smartmontools 7.3-1
sof-firmware 2.2.4-1
sqlite 3.41.2-1
squashfs-tools 4.6.1-1
sshfs 3.7.3-1
stoken 0.92-4
sudo 1.9.13.p3-1
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
systemd 253.2-1
systemd-libs 253.2-1
systemd-resolvconf 253.2-1
systemd-sysvcompat 253.2-1
talloc 2.4.0-2
tar 1.34-2
tcl 8.6.13-1
tcpdump 4.99.3-1
terminus-font 4.49.1-5
testdisk 7.1-5
texinfo 7.0.2-2
thin-provisioning-tools 1.0.3-1
tmux 3.3_a-3
tpm2-tss 3.2.0-3
tzdata 2023c-1
udftools 2.3-1
uriparser 0.9.7-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-2
usbutils 015-2
util-linux 2.38.1-3
util-linux-libs 2.38.1-3
vim 9.0.1420-1
vim-runtime 9.0.1420-1
virtualbox-guest-utils-nox 7.0.6-3
vpnc 1:0.5.3.r526.r213-1
which 2.21-6
wireless-regdb 2023.02.13-1
wireless_tools 30.pre9-3
wpa_supplicant 2:2.10-8
wvdial 1.61-8
wvstreams 4.6.1-20
xcb-proto 1.15.2-2
xdg-utils 1.1.3+25+g8ae0263-1
xfsprogs 6.1.1-2
xl2tpd 1.3.18-1
xmlsec 1.2.37-1
xorg-xprop 1.2.6-1
xorg-xset 1.2.5-1
xorgproto 2022.2-1
xplc 0.3.13-10
xxhash 0.8.1-4
xz 5.4.2-1
zlib 1:1.2.13-2
zsh 5.9-3
zstd 1.5.4-1
